@relation project
 @attribute fqCaller string 
  @attribute fqCalls string 
 @data 
'om/badlogic/gdx/input/RemoteInput/run()','java/io/DataInputStream/readFloat() java/net/Socket/setSoTimeout(int) java/lang/StringBuilder/toString() java/io/DataInputStream/readBoolean() java/lang/StringBuilder/append(java.lang.String) java/io/PrintStream/println(java.lang.String) java/lang/StringBuilder/append(int) java/io/DataInputStream/readInt() java/io/DataInputStream/DataInputStream(java.io.InputStream) java/io/DataInputStream/readChar() java/net/ServerSocket/accept() java/net/Socket/setTcpNoDelay(boolean'
'om/badlogic/gdx/graphics/glutils/FrameBuffer/getManagedStatus()','java/util/Iterator/hasNext() java/lang/StringBuilder/append(java.lang.String) java/lang/StringBuilder/append(int) java/util/Map/get(java.lang.Object) java/util/List/size() java/lang/StringBuilder/StringBuilder() java/util/Set/iterator() java/lang/StringBuilder/toString() java/util/Iterator/next() java/util/Map/keySet('
'om/badlogic/gdx/utils/Json/cacheFields(java.lang.Class)','java/lang/Class/getSuperclass() java/lang/reflect/Field/setAccessible(boolean) java/lang/reflect/Modifier/isStatic(int) java/util/ArrayList/size() java/lang/reflect/Field/isAccessible() java/lang/Class/getDeclaredFields() java/lang/reflect/Field/getModifiers() java/lang/reflect/Field/isSynthetic() java/lang/reflect/Field/getName() java/util/ArrayList/ArrayList() java/util/Collections/addAll(java.util.Collection,java.lang.Object[]) java/lang/reflect/Modifier/isTransient(int) java/util/ArrayList/get(int'
'om/badlogic/gdx/utils/Json/readFields(java.lang.Object,java.lang.Object)','java/lang/reflect/Field/getName() java/lang/StringBuilder/append(java.lang.String) java/util/Iterator/next() java/lang/StringBuilder/StringBuilder() java/lang/reflect/Field/set(java.lang.Object,java.lang.Object) java/lang/Object/getClass() java/lang/StringBuilder/toString() java/util/Iterator/hasNext() java/lang/reflect/Field/getType() java/lang/Class/getName('
'om/badlogic/gdx/utils/Json/readValue(java.lang.Class,java.lang.Class,java.lang.Object)','java/lang/String/valueOf(java.lang.Object) java/lang/Short/valueOf(short) java/lang/Double/valueOf(java.lang.String) java/lang/Float/doubleValue() com/badlogic/gdx/utils/OrderedMap/get(java.lang.Object) java/lang/StringBuilder/toString() java/lang/Class/forName(java.lang.String) java/lang/Class/isAssignableFrom(java.lang.Class) java/lang/Class/isArray() java/util/ArrayList/ArrayList(int) java/lang/Float/intValue() java/lang/Object/toString() java/lang/Boolean/valueOf(java.lang.String) java/util/Iterator/hasNext() java/lang/Class/getComponentType() java/lang/Double/valueOf(double) java/lang/Long/valueOf(long) java/lang/Byte/valueOf(byte) java/lang/StringBuilder/append(java.lang.String) java/lang/String/charAt(int) java/lang/Float/longValue() java/lang/reflect/Array/newInstance(java.lang.Class,int) java/lang/Byte/valueOf(java.lang.String) java/util/Iterator/next() java/lang/Class/isEnum() java/util/HashMap/put(java.lang.Object,java.lang.Object) java/lang/String/equals(java.lang.Object) java/util/ArrayList/add(java.lang.Object) java/lang/Class/getName() java/lang/StringBuilder/StringBuilder() java/lang/Character/valueOf(char) java/lang/Float/shortValue() java/lang/Short/valueOf(java.lang.String) java/lang/Integer/valueOf(int) java/lang/Float/valueOf(java.lang.String) java/lang/StringBuilder/append(java.lang.Object) java/lang/Integer/valueOf(java.lang.String) java/lang/reflect/Array/set(java.lang.Object,int,java.lang.Object) java/lang/Class/getEnumConstants() java/lang/Float/byteValue() java/lang/Long/valueOf(java.lang.String'
'om/badlogic/gdx/utils/Json/getDefaultValues(java.lang.Class)','java/lang/reflect/Field/getName() java/lang/reflect/Field/get(java.lang.Object) java/util/Iterator/hasNext() java/lang/StringBuilder/append(java.lang.String) java/util/Iterator/next() java/lang/StringBuilder/append(java.lang.Object) java/lang/StringBuilder/toString() java/lang/Class/getName() java/lang/StringBuilder/StringBuilder('
'om/badlogic/gdx/utils/Json/prettyPrint(java.lang.Object,com.badlogic.gdx.utils.StringBuilder,int,int)','java/lang/Float/intValue() java/util/Iterator/hasNext() java/lang/StringBuilder/append(java.lang.String) java/lang/Float/floatValue() java/lang/Integer/valueOf(int) com/badlogic/gdx/utils/OrderedMap/get(java.lang.Object) java/util/Iterator/next() com/badlogic/gdx/utils/JsonWriter$OutputType/quoteValue(java.lang.String) java/lang/StringBuilder/StringBuilder() com/badlogic/gdx/utils/JsonWriter$OutputType/quoteName(java.lang.String) java/lang/StringBuilder/append(java.lang.Object) java/lang/Object/getClass() java/lang/StringBuilder/toString('
'om/badlogic/gdx/utils/Json/writeFields(java.lang.Object)','java/lang/reflect/Field/getName() java/util/Iterator/hasNext() java/lang/StringBuilder/append(java.lang.String) java/util/Iterator/next() java/lang/StringBuilder/toString() java/lang/Object/equals(java.lang.Object) java/lang/reflect/Field/get(java.lang.Object) java/lang/reflect/Field/getType() java/lang/Class/getName() java/lang/StringBuilder/StringBuilder() java/lang/StringBuilder/append(java.lang.Object) java/lang/Object/getClass('
'om/badlogic/gdx/utils/Json/writeValue(java.lang.Object,java.lang.Class,java.lang.Class)','java/lang/reflect/Array/getLength(java.lang.Object) java/lang/Class/isPrimitive() java/util/Set/iterator() com/badlogic/gdx/utils/OrderedMap/get(java.lang.Object) java/util/Map/entrySet() java/lang/reflect/Array/get(java.lang.Object,int) java/lang/Class/isArray() java/util/Iterator/hasNext() java/lang/Class/getComponentType() java/lang/StringBuilder/append(java.lang.String) java/util/Map$Entry/getKey() java/util/Iterator/next() java/lang/Class/isEnum() java/lang/StringBuilder/StringBuilder() java/lang/StringBuilder/append(java.lang.Object) java/lang/Object/getClass() java/util/Map$Entry/getValue() java/util/Collection/iterator() java/lang/StringBuilder/toString('
'om/badlogic/gdx/utils/Json/writeField(java.lang.Object,java.lang.String,java.lang.String,java.lang.Class)','java/lang/reflect/Field/getName() java/lang/reflect/Field/get(java.lang.Object) java/lang/StringBuilder/append(java.lang.String) java/lang/StringBuilder/StringBuilder() java/lang/StringBuilder/toString() java/lang/reflect/Field/getType() java/lang/Class/getName() java/lang/StringBuilder/append(java.lang.Object) java/lang/Object/getClass('
